NAME,MSINI,A,PER,ECC,OM,T0,K,ORBREF,ORBURL,FIRSTREF,FIRSTURL
,mjupiter,au,day,,deg,jd,m/s,,,,
Kepler-1430 b,,0.0326929,2.46050993,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-401 b,,0.115746,14.383035,,90,2454973.55968,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-760 c,,0.03437,2.46697439,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1069 b,,0.161835,23.8990296,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-291 c,,0.0624544,5.700786,,90,2454965.68674,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-1324 b,,0.0462676,4.11584468,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
CoRoT-20 b,4.24157,0.0901485,9.24285,0.562,56.3,2455265.79074,454,Deleuil 2012,http://adsabs.harvard.edu/abs/2012A%26A...538A.145D,Deleuil 2012,http://adsabs.harvard.edu/abs/2012A%26A...538A.145D
Kepler-292 e,,0.10246,11.97901,,90,2455011.9664,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
HD 96167 b,0.68457,1.34724,498.9,0.71,285,2453057,20.8,Peek 2009,http://adsabs.harvard.edu/abs/2009PASP..121..613P,Peek 2009,http://adsabs.harvard.edu/abs/2009PASP..121..613P
HD 43197 b,0.596868,0.918027,327.8,0.83,251,2454713.8,32.4,Naef 2010,http://adsabs.harvard.edu/abs/2010A%26A...523A..15N,Naef 2010,http://adsabs.harvard.edu/abs/2010A%26A...523A..15N
Kepler-1388 c,,0.0525035,5.53608151,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-912 b,,0.0372128,2.53475627,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-514 b,,0.0674219,5.65179605,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-998 b,,0.0645018,5.65377733,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1129 b,,0.164368,24.3397804,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1335 b,,0.0609548,6.26406846,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
HD 37605 c,3.36552,3.81754,2720,0.013,221,2454838,48.9,Wang 2012,http://adsabs.harvard.edu/abs/2012ApJ...761...46W,Wang 2012,http://adsabs.harvard.edu/abs/2012ApJ...761...46W
Kepler-1601 b,,0.0336339,2.20921951,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-659 b,,0.122745,17.671796,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1332 b,,0.100137,11.87456832,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-81 b,,0.0554099,5.955,,,,,Xie 2013,http://adsabs.harvard.edu/abs/2012arXiv1208.3312X,Xie 2012,http://adsabs.harvard.edu/abs/2012arXiv1208.3312X
Kepler-814 b,,0.068804,6.1469851,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1168 b,,0.272889,55.8226539,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-955 b,,0.112106,14.53244172,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1328 b,,0.053514,4.52158888,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
HD 183263 b,3.57445,1.49006,626.516,0.35672,233.532,2452111.688,84.0443,Wright 2009,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W,Marcy 2005,http://adsabs.harvard.edu/abs/2005ApJ...619..570M
Kepler-663 b,,0.0543959,4.99678284,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-624 b,,0.120607,14.58649607,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1526 b,,0.0437251,3.908632,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-347 c,,0.177529,27.320871,,90,2454987.30618,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-699 b,,0.167447,27.80756293,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-32 c,,0.0676835,8.7522,0,90,2454977.378,,Fabrycky 2012,http://adsabs.harvard.edu/abs/2012ApJ...750..114F,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B
Kepler-23 b,,0.0749015,7.10664,0,90,2454971.3022,,Ford 2012,http://adsabs.harvard.edu/abs/2012ApJ...750..113F,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B
WASP-23 b,0.871881,0.037022,2.9444256,0,,,145.8,Triaud 2011,http://adsabs.harvard.edu/abs/2011A%26A...531A..24T,Triaud 2011,http://adsabs.harvard.edu/abs/2011A%26A...531A..24T
Kepler-594 b,,0.1083,13.64618192,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
